"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\current_address_provider.dart", "Dart", 29, 0, 6, 35
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\date_picker_provider.dart", "Dart", 82, 3, 12, 97
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\delivery_price_provider.dart", "Dart", 8, 0, 3, 11
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\firestore_db_provider.dart", "Dart", 50, 0, 11, 61
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\navigation_index_provider.dart", "Dart", 8, 0, 3, 11
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\order_address_provider.dart", "Dart", 14, 0, 4, 18
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\order_provider.dart", "Dart", 8, 0, 3, 11
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\order_type_provider.dart", "Dart", 9, 0, 4, 13
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\providers\restaurant_provider.dart", "Dart", 10, 0, 4, 14
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\router\app_router.dart", "Dart", 44, 0, 3, 47
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\router\app_router.gr.dart", "Dart", 485, 41, 96, 622
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\address_add_page.dart", "Dart", 372, 11, 20, 403
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\address_search_page.dart", "Dart", 128, 5, 19, 152
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\date_picker\date_picker.dart", "Dart", 386, 4, 21, 411
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\liked_dishes_page.dart", "Dart", 257, 2, 23, 282
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\login_code_page.dart", "Dart", 150, 1, 7, 158
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\order_pages\cart_page.dart", "Dart", 350, 39, 31, 420
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\order_pages\dish_details.dart", "Dart", 552, 38, 33, 623
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\order_pages\menu_page.dart", "Dart", 428, 47, 40, 515
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\order_pages\order_details_page.dart", "Dart", 567, 4, 31, 602
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\profile_page.dart", "Dart", 485, 37, 21, 543
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\refactored_pages\about_project_page.dart", "Dart", 194, 0, 10, 204
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\refactored_pages\home_page.dart", "Dart", 76, 0, 7, 83
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\refactored_pages\login_page.dart", "Dart", 177, 0, 8, 185
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\refactored_pages\order_confirmation_page.dart", "Dart", 50, 0, 3, 53
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\refactored_pages\project_selecting_page.dart", "Dart", 90, 0, 9, 99
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\refactored_pages\restaurants_map.dart", "Dart", 134, 0, 9, 143
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\refactored_pages\user_details_page.dart", "Dart", 96, 0, 5, 101
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\views\user_addresses_page.dart", "Dart", 135, 0, 12, 147
"Total", "-", 8586, 310, 694, 9590
